NIM,Nama,Email,Tanggal Lahir,Status,Jenis Kelamin,Fakultas,Prodi,Negara,Asal Sekolah,Telepon,Agama,Password
6361594864,Drs. Agnes Pradipta,drs..agnes.pradipta@student.id,1999-10-08,Alumni,Laki-laki,Hukum,Informatika,Indonesia,Perum Tamba Yuliarti (Persero) Tbk,(0671) 948 9522,Budha,P@4b7dc7cd
6367499237,Baktiadi Prakasa,baktiadi.prakasa@student.id,2004-07-11,Mahasiswa,Perempuan,Ekonomi,Hukum,Indonesia,CV Wacana Siregar,+62-0257-435-1328,Budha,P@fdd9dea3
4531656011,"Heru Rahimah, M.M.","heru.rahimah,.m.m.@student.id",2002-09-03,Dosen,Perempuan,Kedokteran,Hukum,Indonesia,CV Kurniawan (Persero) Tbk,0887092911,Islam,P@500e1058
9797573803,Irwan Nuraini,irwan.nuraini@student.id,2000-11-26,Dosen,Laki-laki,Hukum,Informatika,Indonesia,PT Permadi Nashiruddin Tbk,+62 (597) 775-7019,Budha,P@403f8bf5
4681826485,Uli Sirait,uli.sirait@student.id,2003-10-03,Mahasiswa,Laki-laki,Ekonomi,Manajemen,Indonesia,Perum Halim Jailani (Persero) Tbk,+62 (643) 636-7714,Kristen,P@dde51a49
1098231009,Tina Megantara,tina.megantara@student.id,2006-03-10,Aktif,Perempuan,Ekonomi,Manajemen,Indonesia,PT Rahmawati Hardiansyah,+62 (0383) 897 7318,Islam,P@30a6e070
6946270191,Zaenab Putra,zaenab.putra@student.id,2003-04-05,Aktif,Laki-laki,Kedokteran,Akuntansi,Indonesia,PT Mulyani Waskita Tbk,(0136) 004-0316,Katolik,P@5f992d25
6078882459,Titi Sitorus,titi.sitorus@student.id,2006-10-12,Tidak Aktif,Perempuan,Teknik,Informatika,Indonesia,Perum Susanti Marpaung,+62 (329) 785-5302,Katolik,P@42872e51
1440608122,Sabrina Nurdiyanti,sabrina.nurdiyanti@student.id,2007-03-14,Aktif,Laki-laki,Kedokteran,Informatika,Indonesia,PT Thamrin Hardiansyah,+62 (373) 544-2448,Hindu,P@dbcfcb98
9722473676,Cemani Maheswara,cemani.maheswara@student.id,2000-01-18,Aktif,Perempuan,Hukum,Informatika,Indonesia,Perum Nugroho Setiawan Tbk,+62 (70) 274 2121,Kristen,P@f4bca162
3376907352,Gading Putra,gading.putra@student.id,2007-07-10,Aktif,Laki-laki,Hukum,Akuntansi,Indonesia,UD Nasyiah Susanti,+6206573641836,Kristen,P@4cd05880
8573821341,Dr. Alika Hariyah,dr.alika.hariyah@student.id,2007-08-13,Aktif,Perempuan,Teknik,Manajemen,Indonesia,UD Mangunsong (Persero) Tbk,+620652079015,Kristen,P@658f3848
7955637047,Cawisono Maheswara,cawisono.maheswara@student.id,2001-06-02,Aktif,Laki-laki,Hukum,Manajemen,Indonesia,CV Yulianti Wasita,+62553362416,Hindu,P@1bbffc6d
9539397727,Kawaya Sihombing,kawaya.sihombing@student.id,2006-09-29,Aktif,Perempuan,Kedokteran,Manajemen,Indonesia,Perum Sudiati Marpaung,+626501318781,Kristen,P@a6bf94dd
8372100677,"drg. Yulia Maheswara, S.Farm",drg.yulia.maheswara.s.farm@student.id,2007-03-30,Tidak Aktif,Laki-laki,Kedokteran,Informatika,Indonesia,CV Wibowo (Persero) Tbk,+62835658721,Kristen,P@ba278f54
8961872485,Fathonah Purwanti,fathonah.purwanti@student.id,2007-05-02,Aktif,Perempuan,Kedokteran,Manajemen,Indonesia,PD Prakasa Putra,+620266998236,Katolik,P@f174ba65
8589165561,Anom Putra,anom.putra@student.id,2007-05-04,Tidak Aktif,Perempuan,Kedokteran,Informatika,Indonesia,PD Sihotang,+628396360170,Hindu,P@468b79db
9061797722,Gantar Firgantoro,gantar.firgantoro@student.id,2002-12-12,Tidak Aktif,Perempuan,Ekonomi,Manajemen,Indonesia,PD Salahudin Uyainah,+625633845716,Islam,P@7ef350dc
6807496346,R. Ismail Permadi,r.ismail.permadi@student.id,2002-11-22,Tidak Aktif,Laki-laki,Teknik,Informatika,Indonesia,PT Prasasta (Persero) Tbk,+623496942093,Hindu,P@b319f613
7079873444,"drg. Galih Lailasari, S.Ked",drg.galih.lailasari.s.ked@student.id,2003-09-27,Tidak Aktif,Laki-laki,Hukum,Hukum,Indonesia,UD Prakasa (Persero) Tbk,+6203130712760,Hindu,P@2730d937
4545960032,"Salwa Purwanti, S.Pd",salwa.purwanti.s.pd@student.id,2006-03-07,Tidak Aktif,Perempuan,Kedokteran,Informatika,Indonesia,Perum Wasita,+620456978425,Katolik,P@bc0d81ef
9978914779,Kambali Wahyuni,kambali.wahyuni@student.id,2003-08-30,Tidak Aktif,Perempuan,Teknik,Manajemen,Indonesia,UD Wulandari (Persero) Tbk,+62846367205,Islam,P@185c59ee
9890151119,Zelaya Lestari,zelaya.lestari@student.id,2001-07-06,Aktif,Laki-laki,Kedokteran,Akuntansi,Indonesia,PD Hariyah (Persero) Tbk,+620137859282,Kristen,P@7e2542b5
5860210603,Wardi Wijayanti,wardi.wijayanti@student.id,2007-02-17,Tidak Aktif,Perempuan,Teknik,Manajemen,Indonesia,UD Kurniawan Budiman,+62375319003,Kristen,P@7b02733b
1365394944,Ulya Yuniar,ulya.yuniar@student.id,2002-02-23,Aktif,Perempuan,Hukum,Hukum,Indonesia,UD Dongoran Suryono,+62778399789,Kristen,P@9eb74305
